what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1441179829174
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1441179829176
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1441179829176
started,bundle,com.adobe.flash.codemodel.core,4.0.0.272416,"com.adobe.flash.codemodel.core",1441179829190
started,bundle,com.adobe.flash.codemodel.osgi,4.0.0.272416,"com.adobe.flash.codemodel.osgi",1441179829195
started,bundle,com.adobe.flash.profiler,4.0.0.272416,"com.adobe.flash.profiler",1441179829219
started,bundle,com.adobe.flexbuilder.ajaxbridge,4.0.0.272416,"com.adobe.flexbuilder.ajaxbridge",1441179829236
started,bundle,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.as.editor",1441179829249
started,bundle,com.adobe.flexbuilder.dcrad,4.0.0.272416,"com.adobe.flexbuilder.dcrad",1441179829276
started,bundle,com.adobe.flexbuilder.debug.ui,4.0.0.272416,"com.adobe.flexbuilder.debug.ui",1441179829296
started,bundle,com.adobe.flexbuilder.editorcore,4.0.0.272416,"com.adobe.flexbuilder.editorcore",1441179829319
started,bundle,com.adobe.flexbuilder.editors.derived,4.0.0.272416,"com.adobe.flexbuilder.editors.derived",1441179829327
started,bundle,com.adobe.flexbuilder.exportimport,4.0.0.272416,"com.adobe.flexbuilder.exportimport",1441179829357
started,bundle,com.adobe.flexbuilder.flashbridge,4.0.0.272416,"com.adobe.flexbuilder.flashbridge",1441179829365
started,bundle,com.adobe.flexbuilder.flexunit,4.0.0.272416,"com.adobe.flexbuilder.flexunit",1441179829383
started,bundle,com.adobe.flexbuilder.importartwork,4.0.0.272416,"com.adobe.flexbuilder.importartwork",1441179829413
started,bundle,com.adobe.flexbuilder.launching.ui,4.0.0.272416,"com.adobe.flexbuilder.launching.ui",1441179829424
started,bundle,com.adobe.flexbuilder.multisdk,4.0.0.272416,"com.adobe.flexbuilder.multisdk",1441179829427
started,bundle,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,"com.adobe.flexbuilder.mxml.editor",1441179829460
started,bundle,com.adobe.flexbuilder.mxmlmodel,4.0.0.272416,"com.adobe.flexbuilder.mxmlmodel",1441179829471
started,bundle,com.adobe.flexbuilder.project,0.0.0,"com.adobe.flexbuilder.project",1441179829471
started,bundle,com.adobe.flexbuilder.project.ui,4.0.0.272416,"com.adobe.flexbuilder.project.ui",1441179829486
started,bundle,com.adobe.flexbuilder.ui,4.0.0.272416,"com.adobe.flexbuilder.ui",1441179829531
